Title,Release Date,Genre,Revenue,Budget
10 Cloverfield Lane,2016-03-08,Thriller,15000000.0,108300000.0
13 Hours: The Secret Soldiers of Benghazi,2016-01-15,Action,45000000.0,69400000.0
2 Guns,2013-08-02,Action,61000000.0,131900000.0
21 Jump Street,2012-03-16,Comedy,55000000.0,201500000.0
22 Jump Street,2014-06-04,Action,84500000.0,331300000.0
300: Rise of an Empire,2014-03-04,Action,110000000.0,337600000.0
90 Minutes in Heaven,2015-09-11,Drama,5000000.0,4800000.0
A Good Day to Die Hard,2013-02-14,Action,92000000.0,304700000.0
A Haunted House,2013-01-11,Comedy,2500000.0,60100000.0
A Haunted House 2,2014-04-18,Comedy,4000000.0,24000000.0
A Long Way Down,2014-02-10,Comedy,22700000.0,7100000.0
A Most Violent Year,2014-11-06,Action,20000000.0,12000000.0
A Most Wanted Man,2014-01-19,Thriller,15000000.0,36200000.0
A Thousand Words,2012-03-09,Comedy,40000000.0,22000000.0
A Walk Among the Tombstones,2014-09-19,Crime,28000000.0,58800000.0
A Walk in the Woods,2015-01-23,Adventure,8000000.0,36000000.0
Abraham Lincoln: Vampire Hunter,2012-06-22,Horror,99500000.0,116400000.0
After Earth,2013-05-31,Sci-Fi,130000000.0,243800000.0
Ain't Them Bodies Saints,2013-08-16,Drama,4000000.0,1000000.0
Alex Cross,2012-10-19,Crime,35000000.0,34600000.0
Aloha,2015-05-27,Romance,52000000.0,26300000.0
Alvin and the Chipmunks: The Road Chip,2015-12-18,Comedy,90000000.0,234800000.0
American Reunion,2012-04-06,Comedy,50000000.0,235000000.0
American Sniper,2014-11-11,Drama,58800000.0,547400000.0
American Ultra,2015-08-21,Action,28000000.0,27100000.0
Amy,2015-06-16,Biography,3400000.0,22000000.0
Annabelle,2014-09-26,Horror,6500000.0,256900000.0
Annie,2014-12-07,Comedy,65000000.0,133800000.0
Ant-Man,2015-06-29,Action,130000000.0,519400000.0
Argo,2012-10-12,Drama,44500000.0,232300000.0
"As Above, So Below",2014-08-29,Horror,5000000.0,5000000.0
Bad Moms,2016-07-29,Comedy,20000000.0,124200000.0
Barbershop: The Next Cut,2016-04-15,Comedy,20000000.0,55000000.0
Batman v Superman: Dawn of Justice,2016-03-19,Action,250000000.0,872700000.0
Batman: The Killing Joke,2016-07-25,Action,3500000.0,4400000.0
Battle of the Year,2013-09-20,Musical,20000000.0,16500000.0
Battleship,2012-05-18,Action,220000000.0,303000000.0
Beasts of the Southern Wild,2012-06-27,Drama,1800000.0,21900000.0
Beautiful Creatures,2013-02-14,Fantasy,60000000.0,60100000.0
Before I Go to Sleep,2014-09-04,Mystery,22000000.0,15100000.0
Ben-Hur,2016-08-19,Adventure,100000000.0,41400000.0
Beyond the Lights,2014-09-06,Romance,7000000.0,14600000.0
Big Eyes,2014-12-25,Biography,10000000.0,29300000.0
Black Mass,2015-09-04,Action,53000000.0,99800000.0
Blackhat,2015-01-08,Action,70000000.0,19700000.0
Blended,2014-05-23,Comedy,40000000.0,128000000.0
Blue Jasmine,2013-07-26,Drama,18000000.0,97500000.0
Boyhood,2014-01-19,Drama,4000000.0,44500000.0
Brick Mansions,2014-04-23,Action,23000000.0,69000000.0
Bridge of Spies,2015-10-04,Drama,40000000.0,165500000.0
Brooklyn,2015-01-26,Drama,11000000.0,62100000.0
Bullet to the Head,2013-02-01,Crime,55000000.0,21900000.0
Burnt,2015-10-06,Comedy,20000000.0,36600000.0
By the Sea,2015-11-05,Drama,10000000.0,3300000.0
Captain America: The Winter Soldier,2014-03-13,Action,170000000.0,714400000.0
Captive,2015-09-18,Crime,2000000.0,2800000.0
Carol,2015-05-17,Drama,11800000.0,40300000.0
Central Intelligence,2016-06-10,Action,50000000.0,212200000.0
Cesar Chavez,2014-02-12,Drama,10000000.0,6700000.0
Chappie,2015-03-04,Sci-Fi,49000000.0,102100000.0
Chasing Mavericks,2012-10-26,Biography,20000000.0,8300000.0
Chef,2014-03-07,Comedy,11000000.0,46000000.0
Chernobyl Diaries,2012-05-25,Horror,1000000.0,37200000.0
Child 44,2015-04-17,Drama,50000000.0,13000000.0
Chronicle,2012-02-03,Sci-Fi,12000000.0,126600000.0
Cloud Atlas,2012-10-26,Drama,128500000.0,130500000.0
Cloudy with a Chance of Meatballs 2,2013-09-27,Family,78000000.0,274300000.0
Concussion,2015-12-25,Drama,57000000.0,50300000.0
Creed,2015-11-25,Drama,40000000.0,173600000.0
Criminal,2016-04-15,Action,31500000.0,35600000.0
Crimson Peak,2015-10-16,Horror,55000000.0,74700000.0
Daddy's Home,2015-12-25,Comedy,69000000.0,240400000.0
Danny Collins,2015-03-20,Comedy,10000000.0,8200000.0
Dark Shadows,2012-05-11,Comedy,150000000.0,245500000.0
Dark Skies,2013-02-22,Horror,3500000.0,26400000.0
Dawn of the Planet of the Apes,2014-06-26,Action,235000000.0,710600000.0
Dead Man Down,2013-03-08,Action,30000000.0,18100000.0
Deadpool,2016-02-08,Action,58000000.0,782600000.0
Declaration of War,2012-01-27,Romance,1500000.0,6500000.0
Deliver Us from Evil,2014-07-02,Horror,30000000.0,87900000.0
Despicable Me 2,2013-06-20,Comedy,76000000.0,970800000.0
Devil's Due,2014-01-17,Horror,7000000.0,36900000.0
Diary of a Wimpy Kid: Dog Days,2012-08-03,Comedy,22000000.0,77100000.0
Divergent,2014-03-18,Sci-Fi,85000000.0,288900000.0
Django Unchained,2012-12-25,Action,100000000.0,425400000.0
Dolphin Tale 2,2014-09-12,Family,36000000.0,57800000.0
Don't Breathe,2016-08-26,Thriller,9900000.0,28300000.0
Dr. Seuss' The Lorax,2012-03-02,Family,70000000.0,348800000.0
Dracula Untold,2014-10-10,Drama,70000000.0,217100000.0
Draft Day,2014-04-07,Drama,25000000.0,29500000.0
Dragon Blade,2015-02-18,Action,65000000.0,120000000.0
Dumb and Dumber To,2014-11-14,Comedy,50000000.0,169800000.0
Earth to Echo,2014-06-14,Sci-Fi,13000000.0,45300000.0
Eddie the Eagle,2016-02-26,Drama,23000000.0,46200000.0
Edge of Tomorrow,2014-05-28,Action,178000000.0,370500000.0
Elysium,2013-08-09,Sci-Fi,115000000.0,286100000.0
Embrace of the Serpent,2015-05-15,Adventure,1400000.0,2800000.0
End of Watch,2012-09-21,Action,7000000.0,48100000.0
Enough Said,2013-09-20,Comedy,8000000.0,25300000.0
Entourage,2015-05-27,Comedy,39000000.0,49300000.0
